Segment,Respondent_Serial,NPS1_1,NPS_Recode,NPS2
ISP,17418,7,Passive,works most of the time
ISP,17421,6,Detractor,grumble
ISP,17448,9,Promoter,The have good service and are responsive when called.
ISP,17460,8,Passive,
ISP,17464,10,Promoter,good service
ISP,17472,6,Detractor,i guess theyre okay
ISP,17473,2,Detractor,"inconsistent pricing, poor customer service"
ISP,17475,8,Passive,The price keeps raising and they seem to offer great deals for their new customers and not their long time customers
ISP,17485,6,Detractor,price
ISP,17493,8,Passive,I really like their customer service.
ISP,17495,9,Promoter,"reliable service, good customer service"
ISP,17496,6,Detractor,"slow, but no other options"
ISP,17498,8,Passive,its the best option of two choices in my area
ISP,17510,5,Detractor,"They have a monopoly so there is no choice in my area. I am currently ok with service, but past experience is Not reccommendable and future seems bleak."
ISP,17556,7,Passive,no reason
ISP,17557,8,Passive,like em
ISP,17566,9,Promoter,have no complaints
ISP,17578,9,Promoter,good service
ISP,17580,9,Promoter,Have had very few problems with FiOS in the many years we've had it.
ISP,17583,8,Passive,"although the internet service is stable, I don't like the price.... and the email site is very slow to load, lots of errors."
ISP,17593,9,Promoter,I love it their the best
ISP,17612,6,Detractor,None.
ISP,17659,8,Passive,Its a great company
ISP,17675,6,Detractor,"Difficult to reach, get good service from, too expensive for what is received, terrible reputation"
ISP,17683,9,Promoter,
ISP,17704,9,Promoter,good service with the product
ISP,17706,8,Passive,
ISP,17723,5,Detractor,"They are expensive, service is not great, but good internet compared to others"
ISP,17731,5,Detractor,
ISP,17756,10,Promoter,COX HAS GREAT PRICES ALSO CUSTOMER SERVICE
ISP,17783,7,Passive,I feel that it could be better.
ISP,17786,8,Passive,
ISP,17800,7,Passive,"Service is great, customer service ok"
ISP,17831,6,Detractor,Hidden fees
ISP,17837,9,Promoter,they are a good company and offer the sevices that I need
ISP,17840,8,Passive,
ISP,17842,6,Detractor,I rarely recommend any service to anyone.
ISP,17845,9,Promoter,"they are cheap, and have good services"
ISP,17846,5,Detractor,"Special low price, but slow"
ISP,17861,10,Promoter,It is a good price for what i get
ISP,17863,0,Detractor,"They are the only provider in this neighborhood, therefore, I have nothing to which I can compare them"
ISP,17865,6,Detractor,"I have concerns that I am not getting the lowest rate from Cox even though I have asked for the lowest rate each year, based on their advertised rate for newcomers."
ISP,17887,2,Detractor,they keep raising their prices wheile their services declines
ISP,17923,5,Detractor,na
ISP,17936,5,Detractor,
ISP,17949,7,Passive,good product
ISP,17959,0,Detractor,The prices are too high the reception is always going out and the service is terrible
ISP,17971,8,Passive,We have been happy with the bundle we have with them.
ISP,17975,8,Passive,Good internet
ISP,17982,7,Passive,Need better customer service.
ISP,17990,8,Passive,"outages, no notice of planned outages, mediocre service"
ISP,18023,9,Promoter,the customer service is great. The price is great.
ISP,18056,9,Promoter,
ISP,18061,8,Passive,I have no problem with the service but it is a bit expensive.
ISP,18070,8,Passive,
ISP,18076,6,Detractor,price
ISP,18102,3,Detractor,poor service
ISP,18129,0,Detractor,prices are getting too high
ISP,18133,5,Detractor,
ISP,18138,10,Promoter,I have experienced no problems with Charter ervice
ISP,18141,3,Detractor,Television channel options are poor
ISP,18168,8,Passive,seldom have outage dsl speed is good most of the time
ISP,18179,6,Detractor,"they constantly raise the price and bundle television into groups I never watch to get the one or two I want, and the espm 3 is not readily available"
ISP,18182,10,Promoter,fast service workers help greatly done
ISP,18189,9,Promoter,no problems
ISP,18195,9,Promoter,no problems
ISP,18209,3,Detractor,windstream's phone is fine but their internet isn't that great!
ISP,18212,0,Detractor,customer service sucks
ISP,18218,3,Detractor,System goes down all of the time. Company has unreliable reputation.
ISP,18223,9,Promoter,They are always up and running and they meet my needs and my bill doesn't fluctuate
ISP,18227,7,Passive,Internet speed is slow.
ISP,18289,4,Detractor,Price keeps going up
ISP,18305,8,Passive,I like their service but their cost is to much
ISP,18368,10,Promoter,great service
ISP,18463,8,Passive,The price is good for what they offer. It's better than another company that I was with that had so many hidden fees and signed me up for a program I would never use nor did they explain to me that I could use it.
ISP,18485,5,Detractor,Poor wifi speed
ISP,18498,7,Passive,expansive
ISP,18519,5,Detractor,Expensive
ISP,18543,6,Detractor,"Just got the service, it is pretty good so far"
ISP,18545,10,Promoter,I am receiving excellent service from Xfinity/Comcast
ISP,18564,4,Detractor,TV does not have some basic channels I would like to have
ISP,18602,9,Promoter,everything about it is great
ISP,18603,10,Promoter,
ISP,18618,9,Promoter,"good quality, speed and cost"
ISP,18626,2,Detractor,VZ has not come through with the tablet I was promised.
ISP,18634,2,Detractor,Horrible customer service
ISP,18673,6,Detractor,Poor customer service.
ISP,18707,7,Passive,
ISP,18741,7,Passive,We are pleased with our service; but in our area there is very little choice of provider outside of going with satellite
ISP,18782,7,Passive,
ISP,18791,7,Passive,would be a 10 if prices were lower
ISP,18794,8,Passive,Their pricing increases for the same services each year and do not qualify one to get lower rates that new customers get.  They do not seem to care about keeping loyal customers and giving them deals too.
ISP,18814,7,Passive,
ISP,18819,9,Promoter,
ISP,18829,0,Detractor,"Dependability, speed and down time."
ISP,18838,6,Detractor,Display
ISP,18928,0,Detractor,"slowest internet provider there is, overpriced, too"
ISP,18949,2,Detractor,they are to expensive and I have to have channels I don't like/need. I have to be in a contract.. I lost my calif lifeline discount.no fault of verizons so they increased my monthly rate $30.00.. I feel Verizon should have honored the contract and left my monthly slone. because eif I cancealed Verizon they would continue to charge a fee until my contract had ended
ISP,18963,10,Promoter,they have good service
ISP,19021,4,Detractor,
ISP,19098,10,Promoter,Best customer service
ISP,19101,8,Passive,I have no choices which fit what I have at this point.
ISP,19136,6,Detractor,They are decent but you have to watch your bill carefully
ISP,19140,10,Promoter,their customer service are very friendly and helpful
ISP,19145,6,Detractor,internet isnt as fast as it should be and cuts out.
ISP,19162,7,Passive,Because that is the one I clicked.
ISP,19220,6,Detractor,"Cost - it is a high monthly fee. Otherwise, we are happy with the service."
ISP,19234,10,Promoter,great service!
ISP,19238,10,Promoter,excellent
ISP,19263,8,Passive,"internet tends to go out for no reason, 1-2x per week"
ISP,19308,8,Passive,I have never had a problem with them and they're affordable.
ISP,19361,8,Passive,
ISP,19370,8,Passive,
ISP,19437,6,Detractor,I'm satisified with my service
ISP,19448,5,Detractor,"services are okay, but costs are absurd"
ISP,19459,5,Detractor,the services is ok
ISP,19490,6,Detractor,
ISP,19509,8,Passive,The price is not bad. But it can take a while to turn it on when its taken off. Like 24 hours and also took 5 calls and 2 work orders and to treaten to change companys before they fixed the problem so we can get internet
ISP,19525,7,Passive,
ISP,19535,5,Detractor,
ISP,19571,5,Detractor,
ISP,19576,1,Detractor,"poor service, poor quality"
ISP,19614,6,Detractor,to expensive
ISP,19625,8,Passive,we like this company
ISP,19640,9,Promoter,Fair price
ISP,19657,6,Detractor,I'm pretty much stuck with them . No other reasonably priced options available to me
ISP,19680,9,Promoter,Good service
ISP,19689,10,Promoter,no problems
ISP,19702,6,Detractor,not enough infrastructure to provide high speeds at reasonable prices in my rural location
ISP,19743,4,Detractor,
ISP,19763,1,Detractor,I prefer to see my bills separate.
ISP,19772,8,Passive,Good customer service. Prices a little high
ISP,19781,7,Passive,I like the service but it is a little pricey
ISP,19791,10,Promoter,NEVER GOES DOWN.
ISP,19809,7,Passive,I don't like to reccomend
ISP,19848,10,Promoter,"Quality television service along with great TV channels
Internet - wireless easy to troubleshooting, however, only had a problem twice.  Overall, reliable and quality service!"
ISP,19880,8,Passive,decent customer service
ISP,19896,8,Passive,dependable service
ISP,19907,7,Passive,
ISP,19931,10,Promoter,
ISP,19934,5,Detractor,
ISP,19941,10,Promoter,Great service.
ISP,19944,6,Detractor,
ISP,19971,8,Passive,"good network uptime, better tv signal than att uverse, fast internet"
ISP,19974,8,Passive,speed and bandwidth of internet without data limitations
ISP,20021,8,Passive,not sure if pther people would like the cost
ISP,20033,7,Passive,
ISP,20050,9,Promoter,high speed great service
ISP,20051,7,Passive,Could be a bit less expensive
ISP,20072,6,Detractor,television is lacking.  internet has problems
ISP,20093,6,Detractor,
ISP,20094,7,Passive,
ISP,20114,7,Passive,One of a select few in my area
ISP,20126,2,Detractor,"Internet very slow; TV often unreliable.  If there were any other providers, I would most likely switch"
ISP,20149,10,Promoter,Very little problems with these services.
ISP,20159,10,Promoter,Fair price and good internet
ISP,20174,9,Promoter,Great service for the value.
ISP,20183,9,Promoter,They provide good service with rarely a problem
ISP,20186,8,Passive,I don't believe in recommendations
ISP,20196,10,Promoter,
ISP,20220,8,Passive,"The programming is very good, but my contract is up in about 2 months but I am unable to secure new pricing until after December 15, 2015 billing."
ISP,20222,8,Passive,service and price
ISP,20229,10,Promoter,I've used them for over 35 years & have always been very satisfied with them.
ISP,20267,9,Promoter,goodservice
ISP,20315,0,Detractor,
ISP,20317,5,Detractor,
ISP,20319,8,Passive,
ISP,20356,6,Detractor,
ISP,20394,8,Passive,"dependable service,fairly reasonable prices compared to other providers"
ISP,20395,8,Passive,Have had a few problems in the past.
ISP,20425,6,Detractor,They keep upping the rates
ISP,20426,10,Promoter,"it was/is much cheaper to bundle all three  and the cell is a cheapy, just buy minutes as needed."
ISP,20428,8,Passive,"they actually send someone, when something messes up. even if you do have to wait quit a while sometimes."
ISP,20438,8,Passive,Change in their service has a lot to be desired
ISP,20460,10,Promoter,Great Service
ISP,20470,8,Passive,they are better than verizon..they don't charge for service calls and you don't have to wait on hold for hours when calling customer service..bright house is the only one I can use in the the apt. complex I live..
ISP,20485,7,Passive,I don't have much of a choice since Mediacom is the only competing internet provider around and it's cheaper to bundle.
ISP,20498,10,Promoter,Because i have recommended it before
ISP,20542,8,Passive,Good service
ISP,20595,6,Detractor,
ISP,20607,10,Promoter,Never had trouble
ISP,20625,5,Detractor,my internet is slow and sometimes doesn't work at all
ISP,20633,5,Detractor,I do not give that type of advice.
ISP,20647,5,Detractor,
ISP,20657,5,Detractor,Price; monopoly
ISP,20661,5,Detractor,When you call the person has NO local knowledge. Their vacation pause service in grossly inadequate. The representatives have not explained alternate internet options. The internet service is way toooo slooooow
ISP,20669,9,Promoter,best operation and price and service
ISP,20689,8,Passive,Good service
ISP,20701,5,Detractor,poor internet service
ISP,20713,0,Detractor,Bad billing service
ISP,20737,1,Detractor,"Not pleased with the wireless router provided nor with the price increases.  AND I don't ever recommend such services, even if I am pleased with them."
ISP,20753,2,Detractor,Had too many problems with connection and no help getting a live person to help me.
ISP,20763,7,Passive,the high monthly bill
ISP,20770,6,Detractor,The bill
ISP,20775,10,Promoter,love there service has very fast internet
ISP,20821,5,Detractor,frequent outages and reception difficulties
ISP,20835,10,Promoter,have had no problems with them
ISP,20836,5,Detractor,"we just switched, so we don't know if it's any better yet."
ISP,20872,10,Promoter,we have never had a problem with their service
ISP,20899,7,Passive,Expensive but customer service is good.
ISP,20900,8,Passive,"I have been happy with their service, but I also did not have any other options at my apartment, which irritates me"
ISP,20923,2,Detractor,I don't make such recommendations. Centurytel is my only option anyway.
ISP,20928,4,Detractor,It's the only company available in my area
ISP,20929,4,Detractor,"Periodically, TV and internet services disappear.  Bills are difficult to figure out, if at all."
ISP,20965,5,Detractor,If I had a choice I would move.
ISP,20994,10,Promoter,excellent service
ISP,20995,1,Detractor,The service is not consistent
ISP,20996,5,Detractor,poor value of cable TV for the cost of service
ISP,20997,0,Detractor,"Price, poor quality TV signal"
ISP,21033,8,Passive,good customer service and support
ISP,21068,4,Detractor,
ISP,21092,6,Detractor,
ISP,21102,9,Promoter,I have great service for a reasonalbe price. No interuptions in service
ISP,21106,10,Promoter,Just had it & very satisfied with price & quality better than my previous choice
ISP,21149,9,Promoter,Have had it for a while with no problems.
ISP,21155,0,Detractor,They are always raising rates which I don't like
ISP,21175,8,Passive,
ISP,21177,6,Detractor,Costly and not stellar customer service....we have to wait a long time.
ISP,21202,4,Detractor,I don't generally make recommendations. There is nothing special about Frontier.
ISP,21218,6,Detractor,
ISP,21219,9,Promoter,"good service, reception, not lose signal in storms"
ISP,21241,10,Promoter,I have had absolutely no problems with their service.
ISP,21286,9,Promoter,
ISP,21295,10,Promoter,Had good service for 10 years
ISP,21304,5,Detractor,
ISP,21364,8,Passive,"Great service, great channels, fast internet and reception, great price"
ISP,21424,9,Promoter,Service has been good
ISP,21462,8,Passive,
ISP,21489,6,Detractor,
ISP,21499,8,Passive,
ISP,21539,9,Promoter,It works
ISP,21542,4,Detractor,Poor Customer service and high prices
ISP,21581,0,Detractor,very expensive
ISP,21590,6,Detractor,so so
ISP,21595,7,Passive,frequent technical issues and outages
ISP,21597,4,Detractor,"seems expensive compared to others
  average service with long wait times when there is a problem"
ISP,21604,8,Passive,
ISP,21607,10,Promoter,
ISP,21613,9,Promoter,good customer sesrvice; pastient when answering phone calls
ISP,21626,7,Passive,High cost
ISP,21725,6,Detractor,they have been good at coming to the house if need service. I would like to see offers when it is time ti renew.
ISP,21742,5,Detractor,"Their service is very good, but they won't honor the introductory price they promised."
ISP,21745,5,Detractor,I LIKE THE SERVICE BUT THE PRICE IS SO HIGH.  I WILL HAVE TO MAKE A CHANGE.  I REALLY LIKE CHANNEL 12 NEW JERSEY.
ISP,21759,4,Detractor,
ISP,21784,9,Promoter,Have had good service from them
ISP,21789,5,Detractor,difficulty of returning their equipment when you switch to another provider
ISP,21798,10,Promoter,The picture is crystal clear on the TV. I never have trouble with my phone and the internet is fast and reliable.
ISP,21873,9,Promoter,has been a good signal   little buffering noted
ISP,21879,5,Detractor,"service is ok, but the rates keep going up"
ISP,21910,10,Promoter,I have been very satisfied with their service for many years.
ISP,21946,10,Promoter,
ISP,21961,7,Passive,
ISP,21975,10,Promoter,Internet is super fast
ISP,21979,7,Passive,
ISP,21994,2,Detractor,Think the service is very overpriced for what we get
ISP,22003,10,Promoter,been with them for a long time and they handle any issues quickly
ISP,22007,9,Promoter,"I haven't experienced anything negative, except for the cost."
ISP,22026,5,Detractor,Medicom has a bad customer service
ISP,22089,2,Detractor,"Frequent loss of signal, picture with no sound, sound with no picture, slow upload on internet"
ISP,22120,4,Detractor,cost
ISP,22126,9,Promoter,
ISP,22219,9,Promoter,I have gotten good service although I would like a lower rate for my bundle.
ISP,22347,8,Passive,Never having a problem
ISP,22350,9,Promoter,I like Optimum but they are not perfect.
ISP,22360,8,Passive,I would recommend ATT for wireless and landline but not for Internet as my internet with them is very slow and that is the best they offer in my locale.
ISP,22382,6,Detractor,"I think they are over priced and continue to raise prices.  always say it is for adding services - I am happy with what I have I don not want all the ""additional"" ""improved"" services"
ISP,22464,10,Promoter,Great service and selection of programming.
ISP,22543,10,Promoter,Excellent service and cost effective
ISP,22549,7,Passive,we have no other choice
ISP,22627,7,Passive,"For the most part, I like it; but there are problems every so often that are irritating."
ISP,22669,10,Promoter,Great service and no outages issues.
ISP,22743,8,Passive,it is ok service but could be some improvement
ISP,22759,6,Detractor,"Century link provides dependable service, but the price and service are not aligned well"
ISP,22845,5,Detractor,they are okay but they keep raising the prices a lot
ISP,22861,9,Promoter,So far they have been good and it is over a years.
ISP,22930,9,Promoter,good value
ISP,22994,8,Passive,the price
ISP,23034,6,Detractor,
ISP,23189,5,Detractor,Their customer service is not good and they are expensive.
ISP,23350,7,Passive,The rates went up for the first two months after starting services.  The signal doesn't always connect with the tv.  I have to restart the set box or wait for it to load.
ISP,23415,8,Passive,"I have been a customer of Century Link for a couple of years now,
and I have never had a problem."
ISP,23452,2,Detractor,they don't stand by what they say on the telephone
ISP,23503,3,Detractor,They have awful customer service and - lately - frequent outages and spotty broadcasts at the most inopportune times
ISP,23528,3,Detractor,Poor service.
ISP,23580,4,Detractor,too slow
ISP,23635,10,Promoter,
ISP,23696,7,Passive,its good
ISP,23726,8,Passive,They have the fastest internet for a good price with no bandwidth caps.
ISP,23779,9,Promoter,I think their service is the best and their customer service is great!
ISP,23894,10,Promoter,It runs great 95% of the time
ISP,23907,9,Promoter,Low price and always works even if its rainung
ISP,23927,9,Promoter,I like the services they have provided for my household needs
ISP,23935,8,Passive,is good service
ISP,23957,10,Promoter,better deal than we were getting
ISP,23987,6,Detractor,
ISP,24043,7,Passive,"I don't really watch a lot of television at my household so I rarely use some of the services provided, therefore I can't really give that great of a recommendation. Internet service is decent, not extraordinary."
ISP,24044,10,Promoter,thye ahve been great
ISP,24095,9,Promoter,Satisfied wth service
ISP,24203,0,Detractor,Too expensive and they always constantly increase the rate and never update or upgrade your equipment.
ISP,24265,7,Passive,They provide good services but are very expensive
ISP,24288,5,Detractor,COST
ISP,24374,10,Promoter,Good service for 17yrs
ISP,24443,7,Passive,more affordable to compared nice customer service
ISP,24482,4,Detractor,the customer service is lacking and there are outages that usually go unexplained or compensated
ISP,24489,4,Detractor,they are expensive
ISP,24672,9,Promoter,"The internet is very fast, never had any problems with the service at all amd the price is unbeatable."
ISP,24741,10,Promoter,have had good service
ISP,24760,0,Detractor,not good internet and terrible customer service
ISP,24768,10,Promoter,Because I have great service from Charter fast internet and all the sports Channels I need for Cable
ISP,24854,5,Detractor,its ok
ISP,24870,10,Promoter,"Reliable service, excellent and very responsive customer service, and the ability to  keep prices low by subscribing to new packageses when your packagee expires"
ISP,24878,5,Detractor,"The price for WOW is pretty good, but I'm not real happy with my internet service. It cuts out sometimes without notice, and I lose my connection."
ISP,24963,6,Detractor,they are typical provider
ISP,25011,10,Promoter,its fast and reliable
ISP,25015,8,Passive,I have gotten good service from them.
ISP,25060,9,Promoter,No one is perfect
ISP,25109,10,Promoter,Lots of HD channels and good prices right now.
ISP,25144,8,Passive,
ISP,25162,7,Passive,
ISP,25168,9,Promoter,Have been very dependable
ISP,25196,6,Detractor,internet is ok nut tv via x1 set top box is nothing special
ISP,25278,7,Passive,high price
ISP,25289,5,Detractor,some times it is slow
ISP,25382,9,Promoter,have used cox for years with very little problems
ISP,25387,8,Passive,the price is affordable and the internet is fast
ISP,25440,8,Passive,it's slow some times
ISP,25447,8,Passive,"They are okay, but there are times that the internet is less than reliable"
ISP,25622,3,Detractor,I dropped the TV service because of constant problems.  I still use for the Internet because I don't want to go through the local phone company. If I had another choice where I live I would not use Charter.
ISP,25752,9,Promoter,Because I'm happy with the service and right now it works for me.
ISP,25787,10,Promoter,have had few outages
ISP,25801,10,Promoter,"easy to get in touch with, when or if anything goes wrong"
ISP,25923,10,Promoter,have always had excellent service
ISP,25946,9,Promoter,"I have had very few issues with this service, and am generally quite pleased"
ISP,25980,8,Passive,I am very satisfied and they are easy to work with
ISP,25984,9,Promoter,good service
ISP,26106,7,Passive,"I have had lots of issues with Comcast in the past, however my current service has been very good so far."
ISP,26138,7,Passive,they can get very expensive
ISP,26158,7,Passive,The service is just ok. The best part is thats it is cheap. My internet drops a lot or gets super slow.
ISP,26202,1,Detractor,They're too expensive but will offer lower prices if backed into a corner.
ISP,26219,5,Detractor,fa
ISP,26245,7,Passive,
ISP,26312,6,Detractor,good value but you need to threaten to leave to keep getting that value and they may screw up the pricing if you do watch
ISP,26318,9,Promoter,"They have fast service, they are dependable, and their customer service is good"
ISP,26338,4,Detractor,"The tech that came & installed the service was unprofessional, made a huge mess, and did a sloppy job. Also, I ordered a dvr and he installed a standard box. They wouldnt send a tech to correct it, they made us wait while they shipped the DVR & then we had to install it ourselves. It took almost a week to get the DVR we ordered, and still paid for on the bill even though we didn't have the service. We then had to ship back the wrong box ourselves. Verizon has terrible customer service, I was on hold for a long time & ended up getting disconnected 3 times over a period of 2 hours. After all of this, they refused to do anything in the way of compensating us on the bill (giving a discount for the time we didnt even have DVR service.)I would have cancelled the service altogether if there were any other options for my area..the tv & internet is great, the customer service is a nightmare & ruined my opinion of the company."
ISP,26352,10,Promoter,great product and service.  very reliable
ISP,26364,7,Passive,"Their service has improved over the last little while. At one point I dreaded dealing with them, but they're getting better."
ISP,26385,10,Promoter,"I hardly ever have problems with the internet service and in the event that I do, the customer service is friendly and fixes the problem fast.  I have fast speed with this internet service."
ISP,26443,9,Promoter,"We have had a great experience with them, I just wish it was a little cheaper for cable."
ISP,26606,3,Detractor,Poor customer service
ISP,26608,10,Promoter,I have no problems with their service & the prices are ok.
ISP,26717,8,Passive,"good service, pricy though"
ISP,26753,10,Promoter,Good service
ISP,26780,7,Passive,good customer service
ISP,26900,9,Promoter,
ISP,26907,10,Promoter,I have been with windstream for many years. They are dependable and fix problems promptly.
ISP,26909,9,Promoter,quality service with very little down time.
ISP,27416,7,Passive,good so far
ISP,27452,10,Promoter,Very seldom have no service.
ISP,27600,7,Passive,everything is good but price keeps going up
ISP,27621,9,Promoter,experience
ISP,27629,10,Promoter,
ISP,27954,8,Passive,Good customer service
ISP,28037,4,Detractor,have lots of problems with services going out
ISP,28094,5,Detractor,could be faster and cheaper
ISP,28111,9,Promoter,"almost no outages,,,,great phone and live technician services if needed"
ISP,28191,0,Detractor,"I hate Cox - they rip you off, continually increase prices, there is no reward for being a 25 + year on time payment history customer -- I would get better pricing if I continually got behind on bills and started as a new customer every year or so. HATE isn't a strong enough word for them -- fortunately for Cox I have a similar opinion about Verizon -- so there is no real choice!"
ISP,28265,9,Promoter,They have great customer service and reasonable prices and few problems.
ISP,28291,8,Passive,
ISP,28296,8,Passive,charter is ok but do have problems with internet alot
ISP,28347,10,Promoter,Good customer service.
ISP,28364,7,Passive,It is too expensive for the services received.
ISP,28390,9,Promoter,no problems
ISP,28473,8,Passive,
ISP,28475,8,Passive,Service has been fairly good and price acceptable
ISP,28520,8,Passive,Wow has givin me great service for over 10 years with great prices
ISP,28521,9,Promoter,great customer service
ISP,28723,5,Detractor,
ISP,28874,9,Promoter,"great service, great dependability, clear sound"
ISP,29019,5,Detractor,"Have had problems with the internet, but they are fixed for the moment and are the best of the providers"
ISP,29428,8,Passive,good reception but poor customer service and high price
ISP,29964,10,Promoter,we  love the service
ISP,30118,6,Detractor,
ISP,30202,3,Detractor,internet speed is inconsistent
ISP,30217,4,Detractor,Cost and service.
ISP,30774,9,Promoter,great service since being a customer
ISP,30782,7,Passive,internet is so slow    awful     sometomes ramdon charges sure p on acct  have to call like 6 times a year.   pain for slow interent
ISP,30783,9,Promoter,Good company
ISP,30802,0,Detractor,poor service/connection on internet and phone
ISP,30811,0,Detractor,It stinks!
ISP,30829,5,Detractor,The wifi is slow sometimes
ISP,30855,4,Detractor,"I love the service,  but...  in the last year  prices  have gone  sky high!!!! my bill went from 110.00   to 162.00  a month so I will be changing  service  soon .  I have been with them  for  6 years,  and haven't added any new channels or upgrades."
ISP,30912,9,Promoter,They give great customer service and I've always had good internet with them
ISP,31025,9,Promoter,it works
ISP,31067,5,Detractor,Comcast is expensive.
ISP,31102,5,Detractor,I don't recommend any thing unless I am asked and I am not asked often
ISP,31335,7,Passive,"it is reliable, but it is pretty expensive"
ISP,31410,8,Passive,their tech employees are not that great
ISP,31609,7,Passive,expensive
ISP,31734,8,Passive,
ISP,31740,3,Detractor,poor service
ISP,31916,10,Promoter,
ISP,31953,10,Promoter,very accomodating
ISP,31993,10,Promoter,Windstream is wonderful
ISP,31995,5,Detractor,
ISP,32156,9,Promoter,Mainly by the quality and attention.
ISP,32181,10,Promoter,great customer service
ISP,32211,7,Passive,I rarely have interruptions in my service but they over charge and I had an issue with NY payment being applied to the wrong account and the turned off my service and made me pay the reconnect fee even though my payment was on time and it was their fault they didn't apply my payment correctly.
ISP,32217,5,Detractor,"the internet is slow and it goes out ALL the time!!!! cable goes out sometimes, so does phone... not very good"
ISP,32240,5,Detractor,"Their customer service is horrible which plays a big part.  The cable service is new to the area, but they have been actively adding to their lineup."
ISP,32290,5,Detractor,
ISP,32324,8,Passive,
ISP,32387,10,Promoter,thast what I think
ISP,32449,5,Detractor,Cost is high
ISP,32471,0,Detractor,Always loses wifi connection. Slow wifi.
ISP,32558,8,Passive,"charter is doing a fine job, although the occasional outage happens, however the outage does not last too long"
ISP,32624,10,Promoter,
ISP,32784,7,Passive,great service but too expensive compared to alternatives
ISP,32801,10,Promoter,good service
ISP,32842,3,Detractor,"WiFi signal is very strong and it always cuts out and disconnects from other services, such as TV and cell phone, even after receiving multiple new routers"
ISP,32890,5,Detractor,
ISP,32947,1,Detractor,"Their service keeps going up and every month my bill keeps getting higher-for what reasons, they do not tell. It seems my lack of not using all their services, I'm still paying for them whether I want to or not."
ISP,32960,7,Passive,lifetime rate
ISP,32961,5,Detractor,"I use it because there is no other viable alternative where I live, but it isn't the best speed or pricing available anywhere, just nothing else available better right here."
ISP,33004,9,Promoter,great service and reception
ISP,33027,8,Passive,Good service
ISP,33028,9,Promoter,"THEY ARE PRETTU good, their prices slowly climbs so every so oftern you got to call and say something"
ISP,33032,9,Promoter,Best price for most service
ISP,33034,10,Promoter,great service
ISP,33039,9,Promoter,"I use all of my services through Cox. I feel they are affordable and if I have any kind of problem, the company comes to my house and fixes it."
ISP,33048,8,Passive,they have state of the art services like their roku app
ISP,33053,2,Detractor,Their television packages are terrible
ISP,33054,8,Passive,LIKE  COX
ISP,33060,8,Passive,its ok but I am sure there is better
ISP,33070,8,Passive,"reliable service, fairly reasonable"
ISP,33083,7,Passive,cost of service
ISP,33099,9,Promoter,
ISP,33107,10,Promoter,Because they are a underrated company. They provide great service and good internet.
ISP,33113,6,Detractor,many outages
ISP,33118,9,Promoter,they have always had very good service
ISP,33128,8,Passive,
ISP,33129,10,Promoter,
ISP,33135,7,Passive,cause they are nice and fast
ISP,33137,6,Detractor,no contracts
ISP,33141,5,Detractor,"It's better than other companies I've used in the past, but it's still unreliable and has awful customer service."
ISP,33160,0,Detractor,"Because, the service is AWFUL and OVERPRICED."
ISP,33168,10,Promoter,They have great service at an affordable price
ISP,33190,3,Detractor,"bad customer service, too high priced"
ISP,33191,2,Detractor,"Their servicemen are wonderful, but there are SO FEW of them.  It takes forever to get someone out to fix outages and their customer service reps are stressed and short tempered."
ISP,33197,9,Promoter,"I feel like it's a really good service, and it runs smoothly."
ISP,33199,6,Detractor,service is reliable. good.  But it is too expensive. bad.
ISP,33200,5,Detractor,the price
ISP,33203,3,Detractor,"very bad infrastructure planning   waits for centers to overload before replacing important hard ware.  leaves customers days without service.  nice people, greedy management, both ISP platforms are bad in reliability and very bad in speeed...  never get what you purchase"
ISP,33233,0,Detractor,very very poor service
ISP,33234,9,Promoter,
ISP,33235,5,Detractor,The cost is too high
ISP,33236,9,Promoter,good service so far . not comcast
ISP,33237,7,Passive,I really don't like them but the bundle is a pretty good deal.
ISP,33238,0,Detractor,telephone delay
ISP,33241,6,Detractor,
ISP,33242,7,Passive,It would be a higher rating if it didn't cost so much! No problems with service.
ISP,33249,3,Detractor,"I dont' think it's that great, but it was required in my apartment"
ISP,33252,8,Passive,I like it but it is expensive
ISP,33256,5,Detractor,It's too damn expensive! All internet services are!
ISP,33258,8,Passive,
ISP,33260,4,Detractor,Pricing for the services you receive
ISP,33265,5,Detractor,"I feel it cost to much, however it is all that I can get where I live"
ISP,33268,5,Detractor,Customer service and monthly billing are issues. Fast internet speed is really the only plus for this service.
ISP,33269,9,Promoter,service is good
ISP,33270,4,Detractor,"They are constantly jacking up rates, it's ridiculous!"
ISP,33281,7,Passive,Customer service is not great and they are too expensive
ISP,33284,3,Detractor,
ISP,33285,8,Passive,
ISP,33288,8,Passive,Like the service but the price is outrageous.
ISP,33289,9,Promoter,great quality
ISP,33290,10,Promoter,
ISP,33296,3,Detractor,performance    service
ISP,33298,9,Promoter,dependable service at good price
ISP,33300,10,Promoter,Their high speeds and reliability
ISP,33303,0,Detractor,problems with everything/to much money
ISP,33306,8,Passive,Service is reliable and offering is good for what I desire.
ISP,33313,10,Promoter,"Have had Verizon FIOS for over 7 years and never have had an issue at all.  Also, Internet speed is excellent."
ISP,33323,9,Promoter,friendly service
ISP,33327,9,Promoter,good service
ISP,33332,5,Detractor,
ISP,33334,5,Detractor,good service
ISP,33338,0,Detractor,POOR CUSTOMER SERVICE.NOT ABLE TO FIX PROBLEMS
